"Subject" "Location" "TrialNum" "Target1" "Target2" "Resp1" "Resp2"
"021" "C" 4 9 3 14 6
"021" "C" 9 9 3 13 4
"021" "C" 12 9 3 12 6
"021" "C" 20 9 3 15 4
"021" "C" 21 9 3 13 3
"021" "D" 7 2 1 5 5
"021" "D" 8 2 1 5 3
"021" "D" 14 2 1 7 5
"021" "D" 18 2 1 2 4
"021" "D" 24 2 1 4 4
"021" "E" 1 11 10 15 11
"021" "E" 11 11 10 14 11
"021" "E" 13 11 10 13 10
"021" "E" 17 11 10 13 11
"021" "E" 25 11 10 14 11
"022" "A" 9 2 10 4 10
"022" "A" 16 2 10 3 10
"022" "A" 17 2 10 2 10
"022" "A" 19 2 10 4 11
"022" "A" 23 2 10 2 11
"022" "B" 11 5 5 7 7
"022" "B" 20 5 5 6 7
"022" "B" 21 5 5 8 9
"022" "B" 24 5 5 7 9
"022" "B" 25 5 5 7 10
"022" "C" 2 9 3 13 5
"022" "C" 4 9 3 15 4
"022" "C" 6 9 3 14 3
"022" "C" 7 9 3 16 4
"022" "C" 15 9 3 17 4
"022" "D" 5 2 1 5 3
"022" "D" 8 2 1 4 1
"022" "D" 10 2 1 2 4
"022" "D" 13 2 1 4 1
"022" "D" 18 2 1 4 1
"022" "E" 1 11 10 15 10
"022" "E" 3 11 10 16 10
"022" "E" 12 11 10 14 11
"022" "E" 14 11 10 16 11
"022" "E" 22 11 10 13 11
"023" "A" 4 2 10 2 11
"023" "A" 12 2 10 3 11
"023" "A" 13 2 10 3 11
"023" "A" 18 2 10 4 11
"023" "A" 20 2 10 3 11
"023" "B" 3 5 5 10 6
"023" "B" 6 5 5 7 5
"023" "B" 9 5 5 9 6
"023" "B" 15 5 5 9 4
"023" "B" 17 5 5 8 5
"023" "C" 1 9 3 17 1
"023" "C" 2 9 3 17 2
"023" "C" 10 9 3 17 2
"023" "C" 16 9 3 16 1
"023" "C" 23 9 3 17 1
"023" "D" 5 2 1 3 1
"023" "D" 14 2 1 2 1
"023" "D" 19 2 1 2 2
"023" "D" 21 2 1 2 5
"023" "D" 24 2 1 3 1
"023" "E" 7 11 10 17 11
"023" "E" 8 11 10 15 11
"023" "E" 11 11 10 17 11
"023" "E" 22 11 10 17 11
"023" "E" 25 11 10 18 11
"024" "A" 10 2 10 4 11
"024" "A" 11 2 10 3 9
"024" "A" 19 2 10 3 11
"024" "A" 21 2 10 3 11
"024" "A" 22 2 10 4 11
"024" "B" 3 5 5 11 7
"024" "B" 6 5 5 7 10
"024" "B" 20 5 5 9 8
"024" "B" 23 5 5 7 9
"024" "B" 25 5 5 9 8
"024" "C" 8 9 3 15 1
"024" "C" 13 9 3 15 3
"024" "C" 14 9 3 15 3
"024" "C" 15 9 3 15 2
"024" "C" 16 9 3 14 2
"024" "D" 7 2 1 4 1
"024" "D" 12 2 1 6 2
"024" "D" 17 2 1 4 1
"024" "D" 18 2 1 5 4
"024" "D" 24 2 1 5 1
"024" "E" 1 11 10 16 10
"024" "E" 2 11 10 14 5
"024" "E" 4 11 10 15 9
"024" "E" 5 11 10 12 7
"024" "E" 9 11 10 16 9
"025" "A" 9 2 10 1 11
"025" "A" 18 2 10 3 11
"025" "A" 20 2 10 1 11
"025" "A" 21 2 10 1 10
"025" "A" 22 2 10 2 11
"025" "B" 4 5 5 9 8
"025" "B" 10 5 5 7 8
"025" "B" 11 5 5 8 10
"025" "B" 17 5 5 10 7
"025" "B" 25 5 5 6 5
"025" "C" 8 9 3 18 2
"025" "C" 14 9 3 17 2
"025" "C" 16 9 3 19 1
"025" "C" 19 9 3 17 1
"025" "C" 23 9 3 17 1
"025" "D" 5 2 1 3 2
"025" "D" 6 2 1 1 2
"025" "D" 7 2 1 2 1
"025" "D" 12 2 1 2 2
"025" "D" 24 2 1 1 1
"025" "E" 1 11 10 15 10
"025" "E" 2 11 10 17 10
"025" "E" 3 11 10 15 9
"025" "E" 13 11 10 17 11
"025" "E" 15 11 10 16 10
"026" "A" 3 2 10 6 10
"026" "A" 5 2 10 7 11
"026" "A" 7 2 10 7 11
"026" "A" 10 2 10 6 9
"026" "A" 16 2 10 6 9
"026" "B" 1 5 5 10 7
"026" "B" 13 5 5 13 4
"026" "B" 14 5 5 14 4
"026" "B" 22 5 5 14 4
"026" "B" 23 5 5 13 5
"026" "C" 12 9 3 16 4
"026" "C" 15 9 3 15 3
"026" "C" 20 9 3 15 2
"026" "C" 24 9 3 16 1
"026" "C" 25 9 3 17 1
"026" "D" 2 2 1 6 3
"026" "D" 4 2 1 4 5
"026" "D" 9 2 1 7 3
"026" "D" 17 2 1 8 2
"026" "D" 21 2 1 6 3
"026" "E" 6 11 10 14 11
